enterprise_id,enterprise_name
55296395-6,上海舒而爽卫生用品
MA4W6LEQ-5,东莞市艺科口腔材料
32953598-3,东莞新乐天牙科器材
74771529-0,东阳市亚新齿科器材
32787255-6,东阳市昌成卫生材料
69781488-X,乌鲁木齐市鑫康洁卫生材料制造
74312656-0,南通斯瑞医用
58105677-3,南通新东方医用敷料
MA1N3XGC-6,南通泰倍护防护用品
MA1X8FNC-8,南通祥鑫医疗用品
MA2N352W-6,安徽北辰医疗用品淮南分公司
76903017-X,安徽昌盛医疗用品
MA2NWL94-3,安徽百通达科技医疗用品
MA2MX4FG-8,安徽长勤医疗用品
73985823-2,封开县培鑫医用材料
56184544-1,常州斯纳琪护理用品
06950573-6,常州舒心卫生用品
71321016-3,常熟一诺医疗用品
06185865-X,常熟伟盛医疗用品
07103649-X,无锡好得利医用卫生新材料
MA28X7HC-3,杭州凯源医疗用品
MA2B0AAG-2,杭州凯跃卫生用品
72009732-2,杭州康德医用敷料
58388876-8,沈阳博维医疗用品
31329179-3,沈阳奥力医用设备制造
56944328-7,沈阳达仕卫生用品
78221279-5,河南天和卫生材料
75385131-X,河南永泰卫生材料
MA4101Y4-7,河南永祥卫材
70662074-6,河南省豫北卫材
76530473-5,上海成农饲料
74563007-4,上海成大饲料
55913934-5,中山爱莉宠物饲料
79038453-8,乖宝宠物食品集团
31533920-1,光泽县泽农生物科技
MA31E9NY-9,厦门贝贝哟宠物食品
MA2RWWGY-7,合肥九牛饲料
75299145-X,合肥亚博农牧
MA13X3AK-7,吉林省广泽韩一饲料
56392825-9,吉林省金沃农牧科技
79994516-X,固原宝发农牧
60406248-0,大成农牧营口
58473310-0,广东协诚生物科技
78575964-9,广东新南都饲料科技
MA4X0RG6-9,广东昕昊实业
58296164-4,广东有机宝生物科技股份
55362154-4,广东湘大骆驼饲料
61740059-X,广东英维饲料
73617828-2,广东银海水产饲料
MA3NH8DW-2,德州派得宠物食品
78541140-7,成都双胞胎饲料
79002465-5,成都唐人神湘大骆驼饲料
MA27YQCM-X,杭州俞盈饲料
72005112-1,杭州正平生物技术
MA1MCRL2-8,江苏乐普生物技术
66009676-5,江苏明辉饲料
MA1P6DR9-5,江苏牧迪饲料
57674383-5,江苏科盛富邦饲料
77883977-1,江西省万事发饲料
15864334-8,江西省伟梦饲料
71092841-X,中国人寿保险股份
71093449-X,中国人寿财产保险股份
71093370-2,中国人民人寿保险股份
32231682-5,中国人民人寿保险股份重庆市陈家桥营销服务部
10002373-6,中国人民保险集团股份
71093148-3,中国人民财产保险股份
10002371-X,中国再保险集团股份
71092903-3,中国出口信用保险
71092842-8,中国太平保险集团
73337320-X,中国太平洋财产保险股份
MA71LDA2-0,中国太平洋财产保险股份临洮支
71093073-9,中国平安人寿保险股份
71093072-0,中国平安财产保险股份
78679932-7,中德安联人寿保险浙江分宁波营销服务部
68165176-4,中德安联人寿保险浙江分平湖营销服务部
79763830-X,中德安联人寿保险浙江分金华营销服务部
71782536-8,中邮人寿保险股份
55682845-2,大家人寿保险股份
MA1FR59M-0,太平洋保险代理
57915876-2,携程保险代理
MA27WGGK-0,易保保险代理
MA0P52QM-8,易康吉保险经纪
MA06J256-2,易才宏业保险经纪
MA5T6L1D-5,易联民康保险经纪
MA3MLJNF-8,易通保险经纪
MA6K5TYG-X,泰康人寿保险云南保山隆阳支
55013195-3,泰康人寿保险云南保山龙陵支
55577579-0,泰康人寿保险四川遂宁安居营销服务部
78988085-X,泰康人寿保险新疆乌鲁木齐米东区营销服务部
58931314-8,泰康人寿保险新疆阿克苏阿瓦提支
MA614E55-1,中京恒瑞国际软件
MA2HX90M-0,中企筑链科技
MA01Q082-7,中教兴业信息系统集成北京
MA01R1N9-8,中教宏业北京系统集成
MA33R8F9-3,中科华腾厦门科技
MA552JPG-3,中科唯速广东科技
MA01R86P-X,北京华云智天信息技术
10120953-2,北京合力金桥系统集成技术
MA01WAER-X,北京启数智能系统
75601178-9,北京浩宇中天系统集成技术
MA140TP6-X,吉林市中睿信息系统集成服务
66162361-9,吉林阳光智能系统集成
MA0YHE23-6,吉闻信息系统大连
07720124-9,安徽仝益电脑系统集成
72999536-4,安徽四通智能建筑系统集成工程
MA2UA5B9-X,安徽威斯孚信息工程
MA2NMAP8-3,安徽皖脉网络系统集成
MA2TF4KM-7,安徽铁面网络科技
71928826-0,广东中软系统集成
MA59TW7W-6,广东企胜系统集成
72119327-9,广东创恒系统集成
MA5CRBGT-3,广东奥腾云信息科技
78298599-0,广东安宏系统集成
MA5D0HKU-7,广东安护通信息科技
MA5CX043-7,广东德善信息科技
31585021-0,广西东方智源系统集成
MA5P0GX9-6,广西北海市祥泉龙信息技术
09880900-X,广西标鼎安防系统集成
MA5P2E1R-5,广西灿程系统集成
58785803-X,极早期系统集成厦门
21893058-5,保山宝源煤炭
70148364-X,包头市杨圪塄矿业
10231758-6,北京京煤集团
74613224-5,北京昊华能源股份
80233098-4,北京昊华能源股份大台煤矿
80272709-2,北京昊华能源股份大安山煤矿
80233351-X,北京昊华能源股份木城涧煤矿
80273000-5,北京昊华能源股份长沟峪煤矿
72905818-6,北票煤业
11147294-0,大同煤矿集团圣厚源煤业
11207150-8,大同煤矿集团宁武半沟煤业
11183555-3,大同煤矿集团朔州朔煤新裕煤矿
MA0H9HPG8,大同煤矿集团马道头煤业
66410888-2,安康市安太矿业
76084038-7,安徽宿州金狮矿业
15238817-1,安徽省皖北煤电集团
71568396-8,安阳市主焦煤业
77788796-6,宝清县万昌煤矿
75522644-6,宝鸡秦源煤业
76231251-0,峨眉山市川主张沟煤矿
76113179-3,巴州秦华工贸
22915168-3,巴里坤哈萨克自治县明鑫煤炭
MA7762PK-7,巴里坤哈萨克自治县明鑫煤炭二号立井
MA7762PU-9,巴里坤哈萨克自治县明鑫煤炭混合斜井
20066037-X,广西壮族自治区右江矿务局
90059327-8,广西壮族自治区右江矿务局公篓矿
90066085-6,广西壮族自治区右江矿务局塘内煤矿
75374346-6,广西环江下金煤业
MA5KQ9GE-7,广西环江红山朝阳煤业朝阳矿
71965623-8,抚顺泰和煤炭开发
60721362-7,上海新晃空调设备股份
60726217-0,上海松下微波炉
77097466-1,东莞天籁之音电声制品
59210559-3,东莞市三赛电器
67709049-0,东莞市裕隆电器
59586605-6,中山古奇诺智能厨房
69816620-4,中山市中田厨房设备
79621180-6,中山市安心生活电器
66981937-6,中山市邦振电器
09175743-8,中山格智美电器
31507971-0,中山鹘鹰电器
MA0PTP5K-1,内蒙古达兴利电器
69495680-7,北京京东方视讯科技
10176681-4,北京市新丽厨房设备
57159162-5,华夏易能南京新能源
06709274-7,南京百代星桥家具
56341004-6,合肥美的暖通设备
20541230-8,四川长虹电器股份
75274154-9,坤德吴江电子零件
58667279-4,大金空调苏州
67149782-0,天津奥克斯电气
73017846-8,宁波奥云德电器
70487608-6,宁波市银月电器
71331051-9,宁波来特燃气具
14481915-4,宁波科帅电器实业
68801170-0,宁波飞时达电器
60968401-9,嵊州市同心电器
68701571-8,巨力新能源股份
05869238-8,常州安冉电器
76589537-9,常州安太电热电器
13349283-8,上海景峰制药
13270804-3,上海生物制品研究所
70110804-9,亚宝药业集团股份
MA52TF7L-3,佛山市营和中药饮片
10292772-0,北京东升制药
63364626-6,北京同仁堂股份
69630131-0,北京和盛堂药业
63431899-3,北京市兽医生物药品厂
61491411-4,华兰生物工程股份
77867587-7,参天制药中国
12401115-8,吉林省利华制药
12704028-8,哈药集团
20260247-2,四川省祥云中药饮片进出口
