,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
0,"['0532000', '0476270', '0373020', '0234070', '0808800', '0474470', '0275200', '0321000', '0260000', '0108020', '0802270']",67142188-5,1.0,a,"['0532000', '0476270', '0373020', '0234070', '0808800', '0474470', '0275200', '0321000', '0260000', '0108020', '0802270']"
1,"['0262940', '0229000', '0275200', '0321000', '0234070', '0772320', '0772470', '0282270', '0532000', '0476270', '0802270']",67716582-7,0.6886195,a,"['0532000', '0476270', '0373020', '0234070', '0808800', '0474470', '0275200', '0321000', '0260000', '0108020', '0802270']"
2,"['0002000', '0606000', '0777320', '0808800', '0234070', '0877200', '0321000']",68092527-6,0.6120457,a,"['0532000', '0476270', '0373020', '0234070', '0808800', '0474470', '0275200', '0321000', '0260000', '0108020', '0802270']"
3,"['0606040', '0712960', '0301030', '0234070', '0407320', '0285400']",79994516-X,0.9999999,b,"['0606040', '0712960', '0301030', '0234070', '0407320', '0285400']"
4,"['0301020', '0606000', '0204070', '0285400', '0306040', '0224100', '0606600', '0772470', '0282270']",MA48871P-5,0.60718215,b,"['0606040', '0712960', '0301030', '0234070', '0407320', '0285400']"
5,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']",60828043-4,1.0000001,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
6,"['0306060', '0401000', '0002990', '0959270', '0307720', '0507160', '0174070', '0000000', '0968000', '0236000', '0000000']",79036309-1,0.74592596,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
7,"['0306060', '0341170', '0507160', '0174070', '0000000', '0409040', '0442120', '0000000']",61799646-9,0.73708594,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
8,"['0409040', '0468020', '0772150', '0000000', '0607120', '0227700', '0000000', '0507160', '0174070']",57382881-7,0.7323772,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
9,"['0601030', '0441040', '0507160', '0174070', '0000000', '0211000', '0381570', '0000000']",75031676-8,0.717317,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
10,"['0277100', '0371200', '0000000', '0606000', '0279090', '0000000', '0301940', '0311200', '0600000', '0772100', '0400270', '0234070', '0507160']",09298343-7,0.71430874,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
11,"['0000000', '0500060', '0601030', '0904070', '0439000', '0478200', '0124000', '0000000', '0902120', '0271020', '0220470', '0000000', '0000000', '0507160', '0174070', '0479040', '0403310', '0342100']",63372989-7,0.71249664,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
12,"['0372140', '0500000', '0000000', '0211000', '0381570', '0000000', '0302270', '0441120', '0002010', '0234070', '0772320']",74615593-0,0.7050262,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
13,"['0229000', '0308010', '0509000', '0871040', '0702480', '0101020', '0321000', '0000000', '0607120', '0227700', '0000000']",60828202-6,0.7047932,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
14,"['0301960', '0227700', '0320000', '0234070', '0772320', '0000000', '0530120', '0772470', '0000000', '0209040', '0602400']",MA62H568-X,0.69964564,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
15,"['0306060', '0671020', '0507160', '0174070', '0249000', '0540470', '0000000', '0441210', '0371540', '0000000']",32168027-0,0.69341826,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
16,"['0602120', '0220000', '0234070', '0772320', '0000000', '0530120', '0772470', '0000000']",68239365-6,0.692548,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
17,"['0002000', '0102120', '0002270', '0229000', '0908010', '0101020', '0321000', '0234070', '0772320', '0209040', '0602400']",MA6A4B56-X,0.688033,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
18,"['0402070', '0507160', '0507160', '0174070', '0249000', '0540470', '0000000', '0503330', '0320000', '0000000']",57646943-4,0.6879415,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
19,"['0602120', '0220000', '0500000', '0121270', '0407320', '0321000', '0234070', '0772320']",33194841-0,0.68633395,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
20,"['0729040', '0801090', '0242100', '0904070', '0000000', '0002000', '0320000', '0000000', '0202610', '0263300', '0507160', '0174070', '0449000', '0949000']",MA5ANTW5-4,0.6859049,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
21,"['0301020', '0800170', '0002010', '0606600', '0000000', '0106010', '0311120', '0000000', '0507160', '0174070', '0800170', '0252300']",MA2YKN1P-4,0.68087053,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
22,"['0000000', '0000000', '0000000', '0278040', '0430420', '0000000', '0108040', '0351070', '0000000', '0111900', '0262940', '0234070', '0772320']",68774492-9,0.67474735,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
23,"['0900000', '0381510', '0101040', '0507160', '0341120', '0000000', '0227700', '0409040', '0000000']",MA3PG9FG-3,0.67289186,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
24,"['0002000', '0304040', '0801090', '0401000', '0441120', '0104400', '0234070', '0570470', '0378020', '0000000', '0209040', '0602400', '0000000']",MA62B5QM-9,0.6728657,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
25,"['0252270', '0227700', '0002270', '0302320', '0171020', '0401000', '0507160', '0174070']",74802075-7,0.67285615,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
