,enterprise_id,enterprise_name,enterprise_name_code
0,55296395-6,上海舒而爽卫生用品,"['0211000', '0381570', '0876220', '0102270', '0408040', '0171020', '0251000', '0772200', '0606600']"
1,MA4W6LEQ-5,东莞市艺科口腔材料,"['0409040', '0442120', '0002270', '0447170', '0249000', '0600000', '0732120', '0449000', '0949000']"
2,32953598-3,东莞新乐天牙科器材,"['0409040', '0442120', '0029210', '0729040', '0108040', '0712400', '0249000', '0666680', '0449000']"
3,74771529-0,东阳市亚新齿科器材,"['0409040', '0762000', '0002270', '0101020', '0029210', '0217720', '0249000', '0666680', '0449000']"
4,32787255-6,东阳市昌成卫生材料,"['0409040', '0762000', '0002270', '0606000', '0532000', '0171020', '0251000', '0449000', '0949000']"
5,69781488-X,乌鲁木齐市鑫康洁卫生材料制造,"['0271270', '0276010', '0409000', '0002240', '0002270', '0801190', '0002990', '0341610', '0171020', '0251000', '0449000', '0949000', '0222000', '0343060']"
6,74312656-0,南通斯瑞医用,"['0402270', '0373020', '0428210', '0121270', '0717180', '0772200']"
7,58105677-3,南通新东方医用敷料,"['0402270', '0373020', '0029210', '0409040', '0002270', '0717180', '0772200', '0582400', '0949000']"
8,MA1N3XGC-6,南通泰倍护防护用品,"['0402270', '0373020', '0509090', '0202610', '0530070', '0702270', '0530070', '0772200', '0606600']"
9,MA1X8FNC-8,南通祥鑫医疗用品,"['0402270', '0373020', '0382510', '0801190', '0717180', '0001270', '0772200', '0606600']"
10,MA2N352W-6,安徽北辰医疗用品淮南分公司,"['0304040', '0282400', '0121100', '0712320', '0717180', '0001270', '0772200', '0606600', '0301150', '0402270', '0802270', '0807320', '0176200']"
11,76903017-X,安徽昌盛医疗用品,"['0304040', '0282400', '0606000', '0531020', '0717180', '0001270', '0772200', '0606600']"
12,MA2NWL94-3,安徽百通达科技医疗用品,"['0304040', '0282400', '0106020', '0373020', '0343080', '0249000', '0540470', '0717180', '0001270', '0772200', '0606600']"
13,MA2MX4FG-8,安徽长勤医疗用品,"['0304040', '0282400', '0427300', '0441270', '0717180', '0001270', '0772200', '0606600']"
14,73985823-2,封开县培鑫医用材料,"['0441000', '0104400', '0777320', '0401610', '0801190', '0717180', '0772200', '0449000', '0949000']"
15,56184544-1,常州斯纳琪护理用品,"['0902270', '0320000', '0428210', '0241270', '0141810', '0530070', '0161150', '0772200', '0606600']"
16,06950573-6,常州舒心卫生用品,"['0902270', '0320000', '0876220', '0330000', '0171020', '0251000', '0772200', '0606600']"
17,71321016-3,常熟一诺医疗用品,"['0902270', '0053310', '0100000', '0347640', '0717180', '0001270', '0772200', '0606600']"
18,06185865-X,常熟伟盛医疗用品,"['0902270', '0053310', '0252270', '0531020', '0717180', '0001270', '0772200', '0606600']"
19,07103649-X,无锡好得利医用卫生新材料,"['0104120', '0867270', '0474470', '0262410', '0229000', '0717180', '0772200', '0171020', '0251000', '0029210', '0449000', '0949000']"
20,MA28X7HC-3,杭州凯源医疗用品,"['0409170', '0320000', '0277100', '0311960', '0717180', '0001270', '0772200', '0606600']"
21,MA2B0AAG-2,杭州凯跃卫生用品,"['0409170', '0320000', '0277100', '0621840', '0171020', '0251000', '0772200', '0606600']"
22,72009732-2,杭州康德医用敷料,"['0409170', '0320000', '0002990', '0242310', '0717180', '0772200', '0582400', '0949000']"
23,58388876-8,沈阳博维医疗用品,"['0341120', '0762000', '0430420', '0201150', '0717180', '0001270', '0772200', '0606600']"
24,31329179-3,沈阳奥力医用设备制造,"['0341120', '0762000', '0278040', '0400270', '0717180', '0772200', '0377470', '0276040', '0222000', '0343060']"
25,56944328-7,沈阳达仕卫生用品,"['0341120', '0762000', '0343080', '0242100', '0171020', '0251000', '0772200', '0606600']"
26,78221279-5,河南天和卫生材料,"['0311200', '0402270', '0108040', '0269000', '0171020', '0251000', '0449000', '0949000']"
27,75385131-X,河南永泰卫生材料,"['0311200', '0402270', '0309020', '0509090', '0171020', '0251000', '0449000', '0949000']"
28,MA4101Y4-7,河南永祥卫材,"['0311200', '0402270', '0309020', '0382510', '0171020', '0449000']"
29,70662074-6,河南省豫北卫材,"['0311200', '0402270', '0906020', '0172320', '0121100', '0171020', '0449000']"
30,76530473-5,上海成农饲料,"['0211000', '0381570', '0532000', '0407320', '0277200', '0949000']"
31,74563007-4,上海成大饲料,"['0211000', '0381570', '0532000', '0408000', '0277200', '0949000']"
